Date and time,Rainfall (Millimetres),Quality,Interpolation type,Remarks
,,,,Disclaimer
,,,,Use of the information and data contained within this file is at your sole risk.
,,,,"The data is telemetered data, which is transmitted and published by automatic processes."
,,,,"The data is unchecked and may not be accurate, current or complete and it may contain errors."
,,,,Hydro Tasmania:
,,,,"  . makes no representations, either expressed or implied, as to the accuracy of the information and data contained in this file"
,,,,  . accepts no liability however arising for any loss resulting from the use of the information and data in this file or reliance placed on it; and
,,,,"  . makes no representations, either expressed or implied, as to the suitability of the said information and data for any particular purpose."
,,,,
,,,,Copyright 2014 Hydro Electric Corporation.
,,,,No part of this data may be copied to third parties without the
,,,,specific written consent of Hydro Tasmania.
,,,,Time-series interpolation types
,,,,"  InstVal = Instantaneous Value, linear interpolation between observations. For example continuous watercourse level."
,,,,  PrecVal = Preceeding period average value. For example daily avergae flow for the 1st day of Jan 2012 would have timestamp 02/01/2012 00:00
,,,,  PrecMax = Preceding period maximum value. For example maximum weekly watercourse discharge
,,,,  PrecMin = Preceding period minimum value. For example daily minimum temperature
,,,,  PrecTot = Preceding period total value. For example daily total rainfall for the 1st day of Jan 2012 would have date stamp 02/01/2012 00:00
,,,,"  InstTot = Instantaneous total, total value that ocurred at an event"
,,,,"  NoJoin  = Discontinuous value, collection occurs infrequently and interpolation or integration not possible"
,,,,"  SuccVal = Succeeding period Value, value holds until changed"
,,,,  PrecDir = Preceding period directional value.  For example wind direction
,,,,site = WOODS LAKE
,,,,location = AT DAM
06-08-2006 00:00,0,unverified data,PrecTot,
07-08-2006 00:00,0,unverified data,PrecTot,
08-08-2006 00:00,0.2,unverified data,PrecTot,
09-08-2006 00:00,0,unverified data,PrecTot,
10-08-2006 00:00,0,unverified data,PrecTot,
11-08-2006 00:00,0,unverified data,PrecTot,
12-08-2006 00:00,0,unverified data,PrecTot,
13-08-2006 00:00,0,unverified data,PrecTot,
14-08-2006 00:00,0,unverified data,PrecTot,
15-08-2006 00:00,2.2,unverified data,PrecTot,
16-08-2006 00:00,0.2,unverified data,PrecTot,
17-08-2006 00:00,0,unverified data,PrecTot,
18-08-2006 00:00,1,unverified data,PrecTot,
19-08-2006 00:00,0,unverified data,PrecTot,
20-08-2006 00:00,0,unverified data,PrecTot,
21-08-2006 00:00,0,unverified data,PrecTot,
22-08-2006 00:00,1,unverified data,PrecTot,
23-08-2006 00:00,5,unverified data,PrecTot,
24-08-2006 00:00,0.2,unverified data,PrecTot,
25-08-2006 00:00,0,unverified data,PrecTot,
26-08-2006 00:00,0,unverified data,PrecTot,
27-08-2006 00:00,0.2,unverified data,PrecTot,
28-08-2006 00:00,0.2,unverified data,PrecTot,
29-08-2006 00:00,0,unverified data,PrecTot,
30-08-2006 00:00,0,unverified data,PrecTot,
31-08-2006 00:00,0,unverified data,PrecTot,
01-09-2006 00:00,0.4,unverified data,PrecTot,
02-09-2006 00:00,2,unverified data,PrecTot,
03-09-2006 00:00,1.2,unverified data,PrecTot,
04-09-2006 00:00,8,unverified data,PrecTot,
05-09-2006 00:00,0,unverified data,PrecTot,
06-09-2006 00:00,1,unverified data,PrecTot,
07-09-2006 00:00,0.2,unverified data,PrecTot,
08-09-2006 00:00,1.4,unverified data,PrecTot,
09-09-2006 00:00,1,unverified data,PrecTot,
10-09-2006 00:00,1.6,unverified data,PrecTot,
11-09-2006 00:00,0,unverified data,PrecTot,
12-09-2006 00:00,0,unverified data,PrecTot,
13-09-2006 00:00,0.4,unverified data,PrecTot,
14-09-2006 00:00,0.2,unverified data,PrecTot,
15-09-2006 00:00,0,unverified data,PrecTot,
16-09-2006 00:00,0,unverified data,PrecTot,
17-09-2006 00:00,0,unverified data,PrecTot,
18-09-2006 00:00,0,unverified data,PrecTot,
19-09-2006 00:00,0,unverified data,PrecTot,
20-09-2006 00:00,1.8,unverified data,PrecTot,
21-09-2006 00:00,0.6,unverified data,PrecTot,
22-09-2006 00:00,6.6,unverified data,PrecTot,
23-09-2006 00:00,7.4,unverified data,PrecTot,
24-09-2006 00:00,0.4,unverified data,PrecTot,
25-09-2006 00:00,19,unverified data,PrecTot,
26-09-2006 00:00,0,unverified data,PrecTot,
27-09-2006 00:00,0,unverified data,PrecTot,
28-09-2006 00:00,5.4,unverified data,PrecTot,
29-09-2006 00:00,0,unverified data,PrecTot,
30-09-2006 00:00,0.4,unverified data,PrecTot,
01-10-2006 00:00,0.2,unverified data,PrecTot,
02-10-2006 00:00,0.4,unverified data,PrecTot,
03-10-2006 00:00,0.8,unverified data,PrecTot,
04-10-2006 00:00,0,unverified data,PrecTot,
05-10-2006 00:00,0,unverified data,PrecTot,
06-10-2006 00:00,11.4,unverified data,PrecTot,
07-10-2006 00:00,0,unverified data,PrecTot,
08-10-2006 00:00,0.6,unverified data,PrecTot,
09-10-2006 00:00,1,unverified data,PrecTot,
10-10-2006 00:00,0,unverified data,PrecTot,
11-10-2006 00:00,0,unverified data,PrecTot,
12-10-2006 00:00,0,unverified data,PrecTot,
13-10-2006 00:00,0,unverified data,PrecTot,
14-10-2006 00:00,0,unverified data,PrecTot,
15-10-2006 00:00,1.4,unverified data,PrecTot,
16-10-2006 00:00,0.4,unverified data,PrecTot,
17-10-2006 00:00,0,unverified data,PrecTot,
18-10-2006 00:00,0,unverified data,PrecTot,
19-10-2006 00:00,0.4,unverified data,PrecTot,
20-10-2006 00:00,0,unverified data,PrecTot,
21-10-2006 00:00,0.2,unverified data,PrecTot,
22-10-2006 00:00,0,unverified data,PrecTot,
23-10-2006 00:00,0,unverified data,PrecTot,
24-10-2006 00:00,0,unverified data,PrecTot,
25-10-2006 00:00,0,unverified data,PrecTot,
26-10-2006 00:00,1.4,unverified data,PrecTot,
27-10-2006 00:00,0,unverified data,PrecTot,
28-10-2006 00:00,1,unverified data,PrecTot,
29-10-2006 00:00,0.2,unverified data,PrecTot,
30-10-2006 00:00,0.2,unverified data,PrecTot,
31-10-2006 00:00,0.6,unverified data,PrecTot,
01-11-2006 00:00,3,unverified data,PrecTot,
02-11-2006 00:00,0.2,unverified data,PrecTot,
03-11-2006 00:00,0,unverified data,PrecTot,
04-11-2006 00:00,0,unverified data,PrecTot,
05-11-2006 00:00,0,unverified data,PrecTot,
06-11-2006 00:00,0,unverified data,PrecTot,
07-11-2006 00:00,1.2,unverified data,PrecTot,
08-11-2006 00:00,0.2,unverified data,PrecTot,
09-11-2006 00:00,0,unverified data,PrecTot,
10-11-2006 00:00,0,unverified data,PrecTot,
11-11-2006 00:00,0,unverified data,PrecTot,
12-11-2006 00:00,0.4,unverified data,PrecTot,
13-11-2006 00:00,1.4,unverified data,PrecTot,
14-11-2006 00:00,4.4,unverified data,PrecTot,
15-11-2006 00:00,2.8,unverified data,PrecTot,
16-11-2006 00:00,1.2,unverified data,PrecTot,
17-11-2006 00:00,0,unverified data,PrecTot,
18-11-2006 00:00,0,unverified data,PrecTot,
19-11-2006 00:00,0,unverified data,PrecTot,
20-11-2006 00:00,1,unverified data,PrecTot,
21-11-2006 00:00,0,unverified data,PrecTot,
22-11-2006 00:00,0,unverified data,PrecTot,
23-11-2006 00:00,0,unverified data,PrecTot,
24-11-2006 00:00,0,unverified data,PrecTot,
25-11-2006 00:00,0,unverified data,PrecTot,
26-11-2006 00:00,0,unverified data,PrecTot,
27-11-2006 00:00,0,unverified data,PrecTot,
28-11-2006 00:00,0,unverified data,PrecTot,
29-11-2006 00:00,0,unverified data,PrecTot,
30-11-2006 00:00,0.8,unverified data,PrecTot,
01-12-2006 00:00,0,unverified data,PrecTot,
02-12-2006 00:00,0.2,unverified data,PrecTot,
03-12-2006 00:00,0.2,unverified data,PrecTot,
04-12-2006 00:00,0.2,unverified data,PrecTot,
05-12-2006 00:00,0,unverified data,PrecTot,
06-12-2006 00:00,0,unverified data,PrecTot,
07-12-2006 00:00,1.6,unverified data,PrecTot,
08-12-2006 00:00,0,unverified data,PrecTot,
09-12-2006 00:00,0,unverified data,PrecTot,
10-12-2006 00:00,0,unverified data,PrecTot,
11-12-2006 00:00,0,unverified data,PrecTot,
12-12-2006 00:00,5.2,unverified data,PrecTot,
13-12-2006 00:00,0,unverified data,PrecTot,
14-12-2006 00:00,0,unverified data,PrecTot,
15-12-2006 00:00,0.4,unverified data,PrecTot,
16-12-2006 00:00,0.4,unverified data,PrecTot,
17-12-2006 00:00,0,unverified data,PrecTot,
18-12-2006 00:00,0,unverified data,PrecTot,
19-12-2006 00:00,0,unverified data,PrecTot,
20-12-2006 00:00,0,unverified data,PrecTot,
21-12-2006 00:00,0,unverified data,PrecTot,
22-12-2006 00:00,0,unverified data,PrecTot,
23-12-2006 00:00,4.6,unverified data,PrecTot,
24-12-2006 00:00,1,unverified data,PrecTot,
25-12-2006 00:00,3.6,unverified data,PrecTot,
26-12-2006 00:00,2.6,unverified data,PrecTot,
27-12-2006 00:00,0,unverified data,PrecTot,
28-12-2006 00:00,0,unverified data,PrecTot,
29-12-2006 00:00,0,unverified data,PrecTot,
30-12-2006 00:00,0,unverified data,PrecTot,
31-12-2006 00:00,0,unverified data,PrecTot,
01-01-2007 00:00,0,unverified data,PrecTot,
02-01-2007 00:00,0,unverified data,PrecTot,
03-01-2007 00:00,0,unverified data,PrecTot,
04-01-2007 00:00,0,unverified data,PrecTot,
05-01-2007 00:00,0,unverified data,PrecTot,
06-01-2007 00:00,0.6,unverified data,PrecTot,
07-01-2007 00:00,20.2,unverified data,PrecTot,
08-01-2007 00:00,0.4,unverified data,PrecTot,
09-01-2007 00:00,0,unverified data,PrecTot,
10-01-2007 00:00,0,unverified data,PrecTot,
11-01-2007 00:00,0,unverified data,PrecTot,
12-01-2007 00:00,0,unverified data,PrecTot,
13-01-2007 00:00,0,unverified data,PrecTot,
14-01-2007 00:00,0,unverified data,PrecTot,
15-01-2007 00:00,0,unverified data,PrecTot,
16-01-2007 00:00,0,unverified data,PrecTot,
17-01-2007 00:00,0,unverified data,PrecTot,
18-01-2007 00:00,2.6,unverified data,PrecTot,
19-01-2007 00:00,0.2,unverified data,PrecTot,
20-01-2007 00:00,0,unverified data,PrecTot,
21-01-2007 00:00,0.4,unverified data,PrecTot,
22-01-2007 00:00,12.2,unverified data,PrecTot,
23-01-2007 00:00,0,unverified data,PrecTot,
24-01-2007 00:00,0,unverified data,PrecTot,
25-01-2007 00:00,0,unverified data,PrecTot,
26-01-2007 00:00,0,unverified data,PrecTot,
27-01-2007 00:00,0.4,unverified data,PrecTot,
28-01-2007 00:00,0.6,unverified data,PrecTot,
29-01-2007 00:00,0,unverified data,PrecTot,
30-01-2007 00:00,0,unverified data,PrecTot,
31-01-2007 00:00,0,unverified data,PrecTot,
01-02-2007 00:00,0,unverified data,PrecTot,
02-02-2007 00:00,0,unverified data,PrecTot,
03-02-2007 00:00,0,unverified data,PrecTot,
04-02-2007 00:00,0,unverified data,PrecTot,
05-02-2007 00:00,0,unverified data,PrecTot,
06-02-2007 00:00,0,unverified data,PrecTot,
07-02-2007 00:00,0,unverified data,PrecTot,
08-02-2007 00:00,0,unverified data,PrecTot,
09-02-2007 00:00,0,unverified data,PrecTot,
10-02-2007 00:00,0,unverified data,PrecTot,
11-02-2007 00:00,0.4,unverified data,PrecTot,
12-02-2007 00:00,0,unverified data,PrecTot,
13-02-2007 00:00,0,unverified data,PrecTot,
14-02-2007 00:00,0,unverified data,PrecTot,
15-02-2007 00:00,0,unverified data,PrecTot,
16-02-2007 00:00,0,unverified data,PrecTot,
17-02-2007 00:00,0.2,unverified data,PrecTot,
18-02-2007 00:00,6.8,unverified data,PrecTot,
19-02-2007 00:00,4.8,unverified data,PrecTot,
20-02-2007 00:00,0,unverified data,PrecTot,
21-02-2007 00:00,0.2,unverified data,PrecTot,
22-02-2007 00:00,0,unverified data,PrecTot,
23-02-2007 00:00,0.8,unverified data,PrecTot,
24-02-2007 00:00,0.8,unverified data,PrecTot,
25-02-2007 00:00,0,unverified data,PrecTot,
26-02-2007 00:00,0,unverified data,PrecTot,
27-02-2007 00:00,0,unverified data,PrecTot,
28-02-2007 00:00,0.8,unverified data,PrecTot,
01-03-2007 00:00,7.4,unverified data,PrecTot,
02-03-2007 00:00,9.2,unverified data,PrecTot,
03-03-2007 00:00,0.2,unverified data,PrecTot,
04-03-2007 00:00,0,unverified data,PrecTot,
05-03-2007 00:00,0,unverified data,PrecTot,
06-03-2007 00:00,1.2,unverified data,PrecTot,
07-03-2007 00:00,0,unverified data,PrecTot,
08-03-2007 00:00,0.4,unverified data,PrecTot,
09-03-2007 00:00,0,unverified data,PrecTot,
10-03-2007 00:00,0,unverified data,PrecTot,
11-03-2007 00:00,0,unverified data,PrecTot,
12-03-2007 00:00,0,unverified data,PrecTot,
13-03-2007 00:00,0,unverified data,PrecTot,
14-03-2007 00:00,0,unverified data,PrecTot,
15-03-2007 00:00,0,unverified data,PrecTot,
16-03-2007 00:00,0,unverified data,PrecTot,
17-03-2007 00:00,0.4,unverified data,PrecTot,
18-03-2007 00:00,0,unverified data,PrecTot,
19-03-2007 00:00,0,unverified data,PrecTot,
20-03-2007 00:00,0,unverified data,PrecTot,
21-03-2007 00:00,0,unverified data,PrecTot,
22-03-2007 00:00,0,unverified data,PrecTot,
23-03-2007 00:00,0.2,unverified data,PrecTot,
24-03-2007 00:00,3.6,unverified data,PrecTot,
25-03-2007 00:00,6.4,unverified data,PrecTot,
26-03-2007 00:00,0,unverified data,PrecTot,
27-03-2007 00:00,0,unverified data,PrecTot,
28-03-2007 00:00,0.2,unverified data,PrecTot,
29-03-2007 00:00,0,unverified data,PrecTot,
30-03-2007 00:00,1.2,unverified data,PrecTot,
31-03-2007 00:00,5.4,unverified data,PrecTot,
01-04-2007 00:00,0,unverified data,PrecTot,
02-04-2007 00:00,0,unverified data,PrecTot,
03-04-2007 00:00,0,unverified data,PrecTot,
04-04-2007 00:00,0,unverified data,PrecTot,
05-04-2007 00:00,0.2,unverified data,PrecTot,
06-04-2007 00:00,0,unverified data,PrecTot,
07-04-2007 00:00,0,unverified data,PrecTot,
08-04-2007 00:00,0,unverified data,PrecTot,
09-04-2007 00:00,0,unverified data,PrecTot,
10-04-2007 00:00,0.2,unverified data,PrecTot,
11-04-2007 00:00,0,unverified data,PrecTot,
12-04-2007 00:00,0,unverified data,PrecTot,
13-04-2007 00:00,0,unverified data,PrecTot,
14-04-2007 00:00,0,unverified data,PrecTot,
15-04-2007 00:00,0.2,unverified data,PrecTot,
16-04-2007 00:00,0.2,unverified data,PrecTot,
17-04-2007 00:00,0.2,unverified data,PrecTot,
18-04-2007 00:00,0,unverified data,PrecTot,
19-04-2007 00:00,8.6,unverified data,PrecTot,
20-04-2007 00:00,0,unverified data,PrecTot,
21-04-2007 00:00,0,unverified data,PrecTot,
22-04-2007 00:00,6.8,unverified data,PrecTot,
23-04-2007 00:00,0.8,unverified data,PrecTot,
24-04-2007 00:00,0.2,unverified data,PrecTot,
25-04-2007 00:00,0,unverified data,PrecTot,
26-04-2007 00:00,0,unverified data,PrecTot,
27-04-2007 00:00,0,unverified data,PrecTot,
28-04-2007 00:00,0,unverified data,PrecTot,
29-04-2007 00:00,0.4,unverified data,PrecTot,
30-04-2007 00:00,1.8,unverified data,PrecTot,
01-05-2007 00:00,0.6,unverified data,PrecTot,
02-05-2007 00:00,0.2,unverified data,PrecTot,
03-05-2007 00:00,5,unverified data,PrecTot,
04-05-2007 00:00,7.8,unverified data,PrecTot,
05-05-2007 00:00,1.6,unverified data,PrecTot,
06-05-2007 00:00,0.8,unverified data,PrecTot,
07-05-2007 00:00,5,unverified data,PrecTot,
08-05-2007 00:00,3.4,unverified data,PrecTot,
09-05-2007 00:00,7.4,unverified data,PrecTot,
10-05-2007 00:00,0,unverified data,PrecTot,
11-05-2007 00:00,0,unverified data,PrecTot,
12-05-2007 00:00,0,unverified data,PrecTot,
13-05-2007 00:00,0,unverified data,PrecTot,
14-05-2007 00:00,0.2,unverified data,PrecTot,
15-05-2007 00:00,0,unverified data,PrecTot,
16-05-2007 00:00,0.2,unverified data,PrecTot,
17-05-2007 00:00,1.4,unverified data,PrecTot,
18-05-2007 00:00,0.2,unverified data,PrecTot,
19-05-2007 00:00,15,unverified data,PrecTot,
20-05-2007 00:00,1.8,unverified data,PrecTot,
21-05-2007 00:00,0,unverified data,PrecTot,
22-05-2007 00:00,10.6,unverified data,PrecTot,
23-05-2007 00:00,1,unverified data,PrecTot,
24-05-2007 00:00,0,unverified data,PrecTot,
25-05-2007 00:00,2.4,unverified data,PrecTot,
26-05-2007 00:00,0,unverified data,PrecTot,
27-05-2007 00:00,0,unverified data,PrecTot,
28-05-2007 00:00,0.4,unverified data,PrecTot,
29-05-2007 00:00,1.4,unverified data,PrecTot,
30-05-2007 00:00,9.4,unverified data,PrecTot,
31-05-2007 00:00,0,unverified data,PrecTot,
01-06-2007 00:00,6.6,unverified data,PrecTot,
02-06-2007 00:00,0,unverified data,PrecTot,
03-06-2007 00:00,0.2,unverified data,PrecTot,
04-06-2007 00:00,2.6,unverified data,PrecTot,
05-06-2007 00:00,0,unverified data,PrecTot,
06-06-2007 00:00,0,unverified data,PrecTot,
07-06-2007 00:00,0.8,unverified data,PrecTot,
08-06-2007 00:00,0,unverified data,PrecTot,
09-06-2007 00:00,0,unverified data,PrecTot,
10-06-2007 00:00,0,unverified data,PrecTot,
11-06-2007 00:00,0,unverified data,PrecTot,
12-06-2007 00:00,0,unverified data,PrecTot,
13-06-2007 00:00,0.2,unverified data,PrecTot,
14-06-2007 00:00,0.8,unverified data,PrecTot,
15-06-2007 00:00,0,unverified data,PrecTot,
16-06-2007 00:00,0.2,unverified data,PrecTot,
17-06-2007 00:00,0,unverified data,PrecTot,
18-06-2007 00:00,0,unverified data,PrecTot,
19-06-2007 00:00,0.2,unverified data,PrecTot,
20-06-2007 00:00,0.8,unverified data,PrecTot,
21-06-2007 00:00,2,unverified data,PrecTot,
22-06-2007 00:00,0,unverified data,PrecTot,
23-06-2007 00:00,0,unverified data,PrecTot,
24-06-2007 00:00,0,unverified data,PrecTot,
25-06-2007 00:00,0.2,unverified data,PrecTot,
26-06-2007 00:00,0,unverified data,PrecTot,
27-06-2007 00:00,0.2,unverified data,PrecTot,
28-06-2007 00:00,1.2,unverified data,PrecTot,
29-06-2007 00:00,1,unverified data,PrecTot,
30-06-2007 00:00,0,unverified data,PrecTot,
01-07-2007 00:00,0.4,unverified data,PrecTot,
02-07-2007 00:00,0,unverified data,PrecTot,
03-07-2007 00:00,0,unverified data,PrecTot,
04-07-2007 00:00,0.2,unverified data,PrecTot,
05-07-2007 00:00,4,unverified data,PrecTot,
06-07-2007 00:00,4.8,unverified data,PrecTot,
07-07-2007 00:00,4.8,unverified data,PrecTot,
08-07-2007 00:00,6,unverified data,PrecTot,
09-07-2007 00:00,0.6,unverified data,PrecTot,
10-07-2007 00:00,0,unverified data,PrecTot,
11-07-2007 00:00,0.4,unverified data,PrecTot,
12-07-2007 00:00,0.2,unverified data,PrecTot,
13-07-2007 00:00,0,unverified data,PrecTot,
14-07-2007 00:00,0.4,unverified data,PrecTot,
15-07-2007 00:00,0.8,unverified data,PrecTot,
16-07-2007 00:00,0,unverified data,PrecTot,
17-07-2007 00:00,0.2,unverified data,PrecTot,
18-07-2007 00:00,4.8,unverified data,PrecTot,
19-07-2007 00:00,0,unverified data,PrecTot,
20-07-2007 00:00,0,unverified data,PrecTot,
21-07-2007 00:00,0.2,unverified data,PrecTot,
22-07-2007 00:00,0,unverified data,PrecTot,
23-07-2007 00:00,0.2,unverified data,PrecTot,
24-07-2007 00:00,0,unverified data,PrecTot,
25-07-2007 00:00,0,unverified data,PrecTot,
26-07-2007 00:00,0,unverified data,PrecTot,
27-07-2007 00:00,1,unverified data,PrecTot,
28-07-2007 00:00,7.2,unverified data,PrecTot,
29-07-2007 00:00,0.8,unverified data,PrecTot,
30-07-2007 00:00,0.2,unverified data,PrecTot,
31-07-2007 00:00,0.2,unverified data,PrecTot,
01-08-2007 00:00,0.2,unverified data,PrecTot,
02-08-2007 00:00,9.2,unverified data,PrecTot,
03-08-2007 00:00,4,unverified data,PrecTot,
04-08-2007 00:00,0,unverified data,PrecTot,
05-08-2007 00:00,0.2,unverified data,PrecTot,
06-08-2007 00:00,0,unverified data,PrecTot,
07-08-2007 00:00,0,unverified data,PrecTot,
08-08-2007 00:00,1,unverified data,PrecTot,
09-08-2007 00:00,2.6,unverified data,PrecTot,
10-08-2007 00:00,14.4,unverified data,PrecTot,
11-08-2007 00:00,27.4,unverified data,PrecTot,
12-08-2007 00:00,0.2,unverified data,PrecTot,
13-08-2007 00:00,0,unverified data,PrecTot,
14-08-2007 00:00,0,unverified data,PrecTot,
15-08-2007 00:00,0.2,unverified data,PrecTot,
16-08-2007 00:00,5.4,unverified data,PrecTot,
17-08-2007 00:00,1,unverified data,PrecTot,
18-08-2007 00:00,0.4,unverified data,PrecTot,
19-08-2007 00:00,0,unverified data,PrecTot,
20-08-2007 00:00,0,unverified data,PrecTot,
21-08-2007 00:00,0.6,unverified data,PrecTot,
22-08-2007 00:00,0,unverified data,PrecTot,
23-08-2007 00:00,0.4,unverified data,PrecTot,
24-08-2007 00:00,0,unverified data,PrecTot,
25-08-2007 00:00,0,unverified data,PrecTot,
26-08-2007 00:00,0,unverified data,PrecTot,
27-08-2007 00:00,0,unverified data,PrecTot,
28-08-2007 00:00,0,unverified data,PrecTot,
29-08-2007 00:00,0,unverified data,PrecTot,
30-08-2007 00:00,0,unverified data,PrecTot,
31-08-2007 00:00,0,unverified data,PrecTot,
01-09-2007 00:00,7.6,unverified data,PrecTot,
02-09-2007 00:00,0,unverified data,PrecTot,
03-09-2007 00:00,0,unverified data,PrecTot,
04-09-2007 00:00,0.2,unverified data,PrecTot,
05-09-2007 00:00,0.2,unverified data,PrecTot,
06-09-2007 00:00,0,unverified data,PrecTot,
07-09-2007 00:00,0,unverified data,PrecTot,
08-09-2007 00:00,0,unverified data,PrecTot,
09-09-2007 00:00,0.2,unverified data,PrecTot,
10-09-2007 00:00,0,unverified data,PrecTot,
11-09-2007 00:00,3.6,unverified data,PrecTot,
12-09-2007 00:00,2,unverified data,PrecTot,
13-09-2007 00:00,0.2,unverified data,PrecTot,
14-09-2007 00:00,0,unverified data,PrecTot,
15-09-2007 00:00,6.2,unverified data,PrecTot,
16-09-2007 00:00,0,unverified data,PrecTot,
17-09-2007 00:00,0,unverified data,PrecTot,
18-09-2007 00:00,0.6,unverified data,PrecTot,
19-09-2007 00:00,0.2,unverified data,PrecTot,
20-09-2007 00:00,0,unverified data,PrecTot,
21-09-2007 00:00,0,unverified data,PrecTot,
22-09-2007 00:00,1.2,unverified data,PrecTot,
23-09-2007 00:00,0,unverified data,PrecTot,
24-09-2007 00:00,0.2,unverified data,PrecTot,
25-09-2007 00:00,5,unverified data,PrecTot,
26-09-2007 00:00,0.2,unverified data,PrecTot,
27-09-2007 00:00,2.6,unverified data,PrecTot,
28-09-2007 00:00,6.8,unverified data,PrecTot,
29-09-2007 00:00,1.8,unverified data,PrecTot,
30-09-2007 00:00,8,unverified data,PrecTot,
01-10-2007 00:00,12.2,unverified data,PrecTot,
02-10-2007 00:00,3.2,unverified data,PrecTot,
03-10-2007 00:00,0,unverified data,PrecTot,
04-10-2007 00:00,6.2,unverified data,PrecTot,
05-10-2007 00:00,0.2,unverified data,PrecTot,
06-10-2007 00:00,0,unverified data,PrecTot,
07-10-2007 00:00,0,unverified data,PrecTot,
08-10-2007 00:00,0.4,unverified data,PrecTot,
09-10-2007 00:00,0,unverified data,PrecTot,
10-10-2007 00:00,0,unverified data,PrecTot,
11-10-2007 00:00,0,unverified data,PrecTot,
12-10-2007 00:00,1.4,unverified data,PrecTot,
13-10-2007 00:00,0.4,unverified data,PrecTot,
14-10-2007 00:00,0,unverified data,PrecTot,
15-10-2007 00:00,0.2,unverified data,PrecTot,
16-10-2007 00:00,13.6,unverified data,PrecTot,
17-10-2007 00:00,3.6,unverified data,PrecTot,
18-10-2007 00:00,0.2,unverified data,PrecTot,
19-10-2007 00:00,0,unverified data,PrecTot,
20-10-2007 00:00,0,unverified data,PrecTot,
21-10-2007 00:00,0,unverified data,PrecTot,
22-10-2007 00:00,0.4,unverified data,PrecTot,
23-10-2007 00:00,0,unverified data,PrecTot,
24-10-2007 00:00,0,unverified data,PrecTot,
25-10-2007 00:00,0,unverified data,PrecTot,
26-10-2007 00:00,0,unverified data,PrecTot,
27-10-2007 00:00,0,unverified data,PrecTot,
28-10-2007 00:00,2.2,unverified data,PrecTot,
29-10-2007 00:00,1.6,unverified data,PrecTot,
30-10-2007 00:00,,missing data,PrecTot,
31-10-2007 00:00,,missing data,PrecTot,
01-11-2007 00:00,,missing data,PrecTot,
02-11-2007 00:00,,missing data,PrecTot,
03-11-2007 00:00,,missing data,PrecTot,
04-11-2007 00:00,,missing data,PrecTot,
05-11-2007 00:00,,missing data,PrecTot,
06-11-2007 00:00,,missing data,PrecTot,
07-11-2007 00:00,,missing data,PrecTot,
08-11-2007 00:00,,missing data,PrecTot,
09-11-2007 00:00,,missing data,PrecTot,
10-11-2007 00:00,,missing data,PrecTot,
11-11-2007 00:00,0,unverified data,PrecTot,
12-11-2007 00:00,0,unverified data,PrecTot,
13-11-2007 00:00,0,unverified data,PrecTot,
14-11-2007 00:00,0,unverified data,PrecTot,
15-11-2007 00:00,0,unverified data,PrecTot,
16-11-2007 00:00,0,unverified data,PrecTot,
17-11-2007 00:00,0,unverified data,PrecTot,
18-11-2007 00:00,0.8,unverified data,PrecTot,
19-11-2007 00:00,0,unverified data,PrecTot,
20-11-2007 00:00,0,unverified data,PrecTot,
21-11-2007 00:00,1,unverified data,PrecTot,
22-11-2007 00:00,0.2,unverified data,PrecTot,
23-11-2007 00:00,0,unverified data,PrecTot,
24-11-2007 00:00,0,unverified data,PrecTot,
25-11-2007 00:00,0,unverified data,PrecTot,
26-11-2007 00:00,0,unverified data,PrecTot,
27-11-2007 00:00,0,unverified data,PrecTot,
28-11-2007 00:00,0,unverified data,PrecTot,
29-11-2007 00:00,0,unverified data,PrecTot,
30-11-2007 00:00,0,unverified data,PrecTot,
01-12-2007 00:00,0,unverified data,PrecTot,
02-12-2007 00:00,0,unverified data,PrecTot,
03-12-2007 00:00,0,unverified data,PrecTot,
04-12-2007 00:00,25.4,unverified data,PrecTot,
05-12-2007 00:00,0,unverified data,PrecTot,
06-12-2007 00:00,0,unverified data,PrecTot,
07-12-2007 00:00,0,unverified data,PrecTot,
08-12-2007 00:00,5.6,unverified data,PrecTot,
09-12-2007 00:00,0,unverified data,PrecTot,
10-12-2007 00:00,2.4,unverified data,PrecTot,
11-12-2007 00:00,0,unverified data,PrecTot,
12-12-2007 00:00,6.4,unverified data,PrecTot,
13-12-2007 00:00,1.2,unverified data,PrecTot,
14-12-2007 00:00,0,unverified data,PrecTot,
15-12-2007 00:00,0,unverified data,PrecTot,
16-12-2007 00:00,0,unverified data,PrecTot,
17-12-2007 00:00,0,unverified data,PrecTot,
18-12-2007 00:00,0,unverified data,PrecTot,
19-12-2007 00:00,0,unverified data,PrecTot,
20-12-2007 00:00,0,unverified data,PrecTot,
21-12-2007 00:00,0.6,unverified data,PrecTot,
22-12-2007 00:00,29.2,unverified data,PrecTot,
23-12-2007 00:00,17,unverified data,PrecTot,
24-12-2007 00:00,0,unverified data,PrecTot,
25-12-2007 00:00,1.8,unverified data,PrecTot,
26-12-2007 00:00,0,unverified data,PrecTot,
27-12-2007 00:00,0,unverified data,PrecTot,
28-12-2007 00:00,0,unverified data,PrecTot,
29-12-2007 00:00,0,unverified data,PrecTot,
30-12-2007 00:00,0,unverified data,PrecTot,
31-12-2007 00:00,0,unverified data,PrecTot,
01-01-2008 00:00,0,unverified data,PrecTot,
02-01-2008 00:00,0,unverified data,PrecTot,
