Samples.DateAndTime,Samples.Site,Sites.Name,Samples.Location,Locations.Name,Samples.Sample,Samples.TakenBy,Laboratories.Name,Samples.LabRef,SampleDepths.DepthNo,SampleDepths.DepthTime,SampleDepths.Depth,SampleValues.Param,Params.Name,Params.Units,SampleValues.Val,SampleValues.Qualifier,SampleValues.Quality,Samples.Comments,SampleDepths.Comments,SampleValues.Comments,Params.BioKingdom,Params.BioPhylum,Params.BioClass,Params.BioOrder,Params.BioFamily,Params.BioGenus,Params.BioSpecies,Datasets
16/2/2024 10:20,462,WOODS LAKE,5,MIDDLE,82476,KRM,Analytical Services,116496,1,16/2/2024 10:20,0.2,621.14,Cyanobacteria (Aphanocapsa sp.),cells/mL,6600,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82441, EnteredBy: macfarlanek 06/03/2024 13:44",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,Protista,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
16/2/2024 10:20,462,WOODS LAKE,5,MIDDLE,82476,KRM,Analytical Services,116496,1,16/2/2024 10:20,0.2,622.06,Bacillariophyta (Aulacoseira sp.),cells/mL,730,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82441, EnteredBy: macfarlanek 06/03/2024 13:44",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,Protista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
16/2/2024 10:20,462,WOODS LAKE,5,MIDDLE,82476,KRM,Analytical Services,116496,1,16/2/2024 10:20,0.2,621.52,Cyanobacteria (Dolichospermum sp.),cells/mL,110000,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82441, EnteredBy: macfarlanek 06/03/2024 13:44",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
16/2/2024 10:20,462,WOODS LAKE,5,MIDDLE,82476,KRM,Analytical Services,116496,1,16/2/2024 10:20,0.2,659,Bacillariophyta (Fragilaria sp.),cells/mL,950,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82441, EnteredBy: macfarlanek 06/03/2024 13:44",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,Protista,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariceae,Fragilaria,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
16/2/2024 10:20,462,WOODS LAKE,5,MIDDLE,82476,KRM,Analytical Services,116496,1,16/2/2024 10:20,0.2,623.18,Chlorophyta (Pediastrum sp.),cells/mL,1,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82441, EnteredBy: macfarlanek 06/03/2024 13:44",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,Plantae,,Chlorophyceae,Sphaeropleales,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
16/2/2024 10:20,462,WOODS LAKE,5,MIDDLE,82476,KRM,Analytical Services,116496,1,16/2/2024 10:20,0.2,621.08,Cyanobacteria (Snowella sp.),cells/mL,4500,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82441, EnteredBy: macfarlanek 06/03/2024 13:44",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,Protista,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Snowella,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
16/2/2024 10:20,462,WOODS LAKE,5,MIDDLE,82476,KRM,Analytical Services,116496,1,16/2/2024 10:20,0.2,260.04,Ammonia as N,mg/l,0.009,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82441, EnteredBy: macfarlanek 06/03/2024 13:44",Surface grab sample,Method: Dissolved Nutrients by FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
16/2/2024 10:20,462,WOODS LAKE,5,MIDDLE,82476,KRM,Analytical Services,116496,1,16/2/2024 10:20,0.2,431,Chlorophyll A (or Chlorophyll),ug/L,120,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82441, EnteredBy: macfarlanek 06/03/2024 13:44",Surface grab sample,Method: Chlorophyll a in Water,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
16/2/2024 10:20,462,WOODS LAKE,5,MIDDLE,82476,KRM,Analytical Services,116496,1,16/2/2024 10:20,0.2,260.02,Nitrate as N,mg/l,0.002,<,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82441, EnteredBy: macfarlanek 06/03/2024 13:44",Surface grab sample,Method: Dissolved Nutrients by FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
16/2/2024 10:20,462,WOODS LAKE,5,MIDDLE,82476,KRM,Analytical Services,116496,1,16/2/2024 10:20,0.2,260.03,Oxidised Nitrite + Nitrate - Total as N,mg/L,0.002,<,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82441, EnteredBy: macfarlanek 06/03/2024 13:44",Surface grab sample,Method: Dissolved Nutrients by FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
16/2/2024 10:20,462,WOODS LAKE,5,MIDDLE,82476,KRM,Analytical Services,116496,1,16/2/2024 10:20,0.2,260.01,Nitrite as N,mg/l,0.002,<,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82441, EnteredBy: macfarlanek 06/03/2024 13:44",Surface grab sample,Method: Dissolved Nutrients by FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
16/2/2024 10:20,462,WOODS LAKE,5,MIDDLE,82476,KRM,Analytical Services,116496,1,16/2/2024 10:20,0.2,260.15,Nitrogen - Total as N,mg/L,2.2,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82441, EnteredBy: macfarlanek 06/03/2024 13:44",Surface grab sample,Method: Total Nutrients by Kjeldahl Digest and FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
16/2/2024 10:20,462,WOODS LAKE,5,MIDDLE,82476,KRM,Analytical Services,116496,1,16/2/2024 10:20,0.2,260.08,Kjeldahl Nitrogen (TKN) as N - Total,mg/l,2.2,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82441, EnteredBy: macfarlanek 06/03/2024 13:44",Surface grab sample,Method: Total Nutrients by Kjeldahl Digest and FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
16/2/2024 10:20,462,WOODS LAKE,5,MIDDLE,82476,KRM,Analytical Services,116496,1,16/2/2024 10:20,0.2,441.02,Organic Carbon Non-Purgeable (NPOC Dis),mg/l,18,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82441, EnteredBy: macfarlanek 06/03/2024 13:44",Surface grab sample,Method: Carbon in water,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
16/2/2024 10:20,462,WOODS LAKE,5,MIDDLE,82476,KRM,Analytical Services,116496,1,16/2/2024 10:20,0.2,268.18,Phosphorous - Reactive - Filtered,mg/l,0.006,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82441, EnteredBy: macfarlanek 06/03/2024 13:44",Surface grab sample,Method: Dissolved Nutrients by FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
16/2/2024 10:20,462,WOODS LAKE,5,MIDDLE,82476,KRM,Analytical Services,116496,1,16/2/2024 10:20,0.2,268.14,Phosphorus as P - Total,mg/l,0.045,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82441, EnteredBy: macfarlanek 06/03/2024 13:44",Surface grab sample,Method: Total Nutrients by Kjeldahl Digest and FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
16/2/2024 10:20,462,WOODS LAKE,5,MIDDLE,82476,KRM,Analytical Services,116496,1,16/2/2024 10:20,0.2,171,Suspended Solids - Total (TSS),mg/l,16,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82441, EnteredBy: macfarlanek 06/03/2024 13:44",Surface grab sample,"Method: Solids, Total Suspended dried at 104 ± 3 °C",,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,621.14,Cyanobacteria (Aphanocapsa sp.),cells/mL,25000,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,Protista,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Aphanocapsa,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,622.06,Bacillariophyta (Aulacoseira sp.),cells/mL,76,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,Protista,Bacillariophyta,Coscinodiscophyceae,Aulacoseirales,Aulacoseiraceae,Aulacoseira,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,623.67,Chlorophyta (Closteriopsis sp.),cells/mL,1,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,623.05,Chlorophyta (Cosmarium sp.),cells/mL,1,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,Protista,Chlorophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Cosmarium,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,621.52,Cyanobacteria (Dolichospermum sp.),cells/mL,110000,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,659,Bacillariophyta (Fragilaria sp.),cells/mL,1300,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,Protista,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariceae,Fragilaria,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,623.68,Chlorophyta (Gloeocystis sp.),cells/mL,1,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,623.21,Chlorophyta (Oocystis sp.),cells/mL,38,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,Protista,Chlorophyta,Chlorophyceae,Chlorococcales,Oocystaceae,Oocystis,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,623.18,Chlorophyta (Pediastrum sp.),cells/mL,1,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,Plantae,,Chlorophyceae,Sphaeropleales,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,621.08,Cyanobacteria (Snowella sp.),cells/mL,9000,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,Protista,Cyanobacteria,Cyanophyceae,Synechococcales,Merismopediaceae,Snowella,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,623.36,Charophyta (Spondylosium sp.),cells/mL,38,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,Protista,Chlorophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,Spondylosium,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,623.78,Chlorophyta (Ulothrix sp.),cells/mL,880,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Algal Count in Fresh Water by Optical Microscopy,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,260.04,Ammonia as N,mg/l,0.005,<,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Dissolved Nutrients by FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,431,Chlorophyll A (or Chlorophyll),ug/L,84,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Chlorophyll a (Filter),,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,260.02,Nitrate as N,mg/l,0.002,<,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Dissolved Nutrients by FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,260.03,Oxidised Nitrite + Nitrate - Total as N,mg/L,0.003,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Dissolved Nutrients by FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,260.01,Nitrite as N,mg/l,0.002,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Dissolved Nutrients by FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,260.15,Nitrogen - Total as N,mg/L,1.6,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Total Nutrients by Kjeldahl Digest and FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,260.08,Kjeldahl Nitrogen (TKN) as N - Total,mg/l,1.6,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Total Nutrients by Kjeldahl Digest and FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,441.02,Organic Carbon Non-Purgeable (NPOC Dis),mg/l,11,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Carbon in water,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,268.18,Phosphorous - Reactive - Filtered,mg/l,0.006,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Dissolved Nutrients by FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,268.14,Phosphorus as P - Total,mg/l,0.032,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,Method: Total Nutrients by Kjeldahl Digest and FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
25/1/2024 11:20,462,WOODS LAKE,5,MIDDLE,82468,KRM/RM,Analytical Services,116169,1,25/1/2024 11:20,0.2,171,Suspended Solids - Total (TSS),mg/l,14,,4,"'PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82319, EnteredBy: macfarlanek 04/03/2024 13:43",Surface grab sample,"Method: Solids, Total Suspended dried at 104 ± 3 °C",,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: Water Licence Annual Plan WQ
"
8/2/2024 15:05,462,WOODS LAKE,5,MIDDLE,82458,KRM/RM,Analytical Services,116376,1,8/2/2024 15:05,0.2,268.14,Phosphorus as P - Total,mg/l,0.08,,4,"'PURPOSE: WQ - King William Lake Project (BoTN)','PURPOSE: Water Licence Annual Plan WQ', RelatedTo: 82435, EnteredBy: macfarlanek 04/03/2024 12:29",Surface grab sample,Method: Total Nutrients by Kjeldahl Digest and FIA,,,,,,,,"SOURCE: WQ AST Lab results importer
SOURCE: LAB
PURPOSE: WQ - King William Lake Project (BoTN)
PURPOSE: Water Licence Annual Plan WQ
"
