Variable ID,Variable Name,Units,Symbol,LaTex Units,Programmatic,SH Category,CF Name (http://cfconventions.org/Data/cf-standard-names/current/build/cf-standard-name-table.html),CF Units,CF Conversion,Category,Descriptiion
var00020,Suspended Solids #3,mg/L,SS_3,mg/L,suspended_solids_3,,N/A,,,Water Quality (Nutrient),
var00021,Sediment Mass #3,g/m^2,SS_3_{SED},g/m^2,sediment_mass_3,,N/A,,,Sediment,
var00022,Water Age,days,\tau_{age},days,water_age,,N/A,,,Hydrodynamics,
var00023,Dissolved Oxygen,mg/L,O_2,mg/L,oxygen,,N/A,,,Water Quality (PhysChm),
var00024,Reactive Silica,mg/L,RSi,mg/L,reactive_silica,,N/A,,,Water Quality (Nutrient),
var00025,Ammonium,mg/L,NH_4,mg/L,ammonium,NUT_AMMONIA,N/A,,,Water Quality (Nutrient),
var00026,Nitrate,mg/L,NO_3,mg/L,nitrate,NUT_NITRATE,N/A,,,Water Quality (Nutrient),
var00027,Filterable Reactive Phosphate,mg/L,FRP,mg/L,filterable_reactive_phosphate,NUT_PHOSPHATE,N/A,,,Water Quality (Nutrient),
var00028,Adsorped Phosphate,mg/L,FRP_{ads},mg/L,adsorped_phosphate,,N/A,,,Water Quality (Nutrient),
var00029,Dissolved Organic Carbon,mg/L,DOC,mg/L,dissolved_organic_carbon,,N/A,,,Water Quality (Nutrient),
var00030,Dissolved Organic Carbon (refractory),mg/L,DOC_R,mg/L,dissolved_organic_carbon_refractory,,N/A,,,Water Quality (Nutrient),
var00031,Particulate Organic Carbon,mg/L,POC,mg/L,particulate_organic_carbon,,N/A,,,Water Quality (Nutrient),
var00032,Dissolved Organic Nitrogen,mg/L,DON,mg/L,dissolved_organic_nitrogen,NUT_NITROGEN_DISOLVED_ORGANIC,N/A,,,Water Quality (Nutrient),
var00033,Particulate Organic Nitrogen,mg/L,PON,mg/L,particulate_organic_nitrogen,NUT_NITROGEN_PARTICULATE_ORGANIC,N/A,,,Water Quality (Nutrient),
var00034,Dissolved Organic Nitrogen (refractory),mg/L,DON_R,mg/L,dissolved_organic_nitrogen_refractory,,N/A,,,Water Quality (Nutrient),
var00035,Dissolved Organic Phosphorus,mg/L,DOP,mg/L,dissolved_organic_phosphorus,NUT_PHOSPHORUS_DISOLVED_ORGANIC,N/A,,,Water Quality (Nutrient),
var00036,Particulate Organic Phosphorus,mg/L,POP,mg/L,particulate_organic_phosphorus,NUT_PHOSPHORUS_PARTICULATE_ORGANIC,N/A,,,Water Quality (Nutrient),
var00037,Dissolved Organic Phosphorus (refractory),mg/L,DOP_R,mg/L,dissolved_organic_phosphorus_refractory,,N/A,,,Water Quality (Nutrient),
var00038,Phytoplankton Biomass (greens),mmol C/m^3,PHY_{grn},mmol C/m^3,phytoplankton_biomass_greens,BIO_BLUE_GREEN_ALGAE,N/A,,,Ecology (Planktonic),
var00039,Phytoplankton Biomass (crypt),mmol C/m^3,PHY_{crypt},mmol C/m^3,phytoplankton_biomass_crypt,,N/A,,,Ecology (Planktonic),
var00040,Phytoplankton Biomass (diatom),mmol C/m^3,PHY_{diatom},mmol C/m^3,phytoplankton_biomass_diatom,,N/A,,,Ecology (Planktonic),
var00041,Phytoplankton Biomass (dino),mmol C/m^3,PHY_{dino},mmol C/m^3,phytoplankton_biomass_dino,,N/A,,,Ecology (Planktonic),
var00042,Filamentous Algae (floating),mmol C/m^3,M_{ulva\:(float)},mmol C/m^3,filamentous_algae_floating,,N/A,,,Ecology (Benthic),
var00043,Filamentous Algae Nitrogen (floating),mmol N/m^3,MIN_{ulva\:(float)},mmol N/m^3,filamentous_algae_nitrogen_floating,,N/A,,,Ecology (Benthic),
var00044,Filamentous Algae Phosphorus (floating),mmol P/m^3,MIP_{ulva\:(float)},mmol P/m^3,filamentous_algae_phosphorus_floating,,N/A,,,Ecology (Benthic),
var00045,Filamentous Algae Biomass (total),g DW/m^2,M_{ulva},g DW/m^2,filamentous_algae_biomass_total,,N/A,,,Ecology (Benthic),
var00046,Filamentous Algae Biomass (total),g DW/m^2,M_{ulva},g DW/m^2,filamentous_algae_biomass_total,,N/A,,,Ecology (Benthic),
var00047,Filamentous Algae Biomass (total),g DW/m^2,M_{ulva},g DW/m^2,filamentous_algae_biomass_total,,N/A,,,Ecology (Benthic),
var00048,O2 Dissolved Sediment Flux,mmol O_2/m^2,F_{sed}^{oxy},mmol O_2/m^2,o2_dissolved_sediment_flux,,N/A,,,Water Quality (Nutrient),
var00049,DIC Dissolved Sediment Flux,mmol C/m^2,,mmol C/m^2,dic_dissolved_sediment_flux,,N/A,,,Water Quality (Nutrient),
var00050,NH4 Dissolved Sediment Flux,mmol N/m^2,,mmol N/m^2,nh4_dissolved_sediment_flux,,N/A,,,Water Quality (Nutrient),
var00051,NO3 Dissolved Sediment Flux,mmol N/m^2,,mmol N/m^2,no3_dissolved_sediment_flux,,N/A,,,Water Quality (Nutrient),
var00052,FRP Dissolved Sediment Flux,mmol P/m^2,,mmol P/m^2,frp_dissolved_sediment_flux,,N/A,,,Water Quality (Nutrient),
var00053,POC Dissolved Sediment Flux,mmol C/m^2,,mmol C/m^2,poc_dissolved_sediment_flux,,N/A,,,Water Quality (Nutrient),
var00054,DOC Dissolved Sediment Flux,mmol C/m^2,F_{dsf}^{doc},mmol C/m^2,doc_dissolved_sediment_flux,,N/A,,,Water Quality (Nutrient),
var00055,PON Dissolved Sediment Flux,mmol N/m^2,,mmol N/m^2,pon_dissolved_sediment_flux,,N/A,,,Water Quality (Nutrient),
var00056,DON Dissolved Sediment Flux,mmol N/m^2,,mmol N/m^2,don_dissolved_sediment_flux,,N/A,,,Water Quality (Nutrient),
var00057,POP Dissolved Sediment Flux,mmol P/m^2,,mmol P/m^2,pop_dissolved_sediment_flux,,N/A,,,Water Quality (Nutrient),
var00058,DOP Dissolved Sediment Flux,mmol P/m^2,,mmol P/m^2,dop_dissolved_sediment_flux,,N/A,,,Water Quality (Nutrient),
var00059,Photosynthetically Active Radiation,W/m^2,I_{PAR},W/m^2,photosynthetically_active_radiation,WTR_PAR,downwelling_photosynthetic_radiative_flux_in_sea_water,W m-2,1,Light,Downwelling radiative flux of the photosynthetically active waveband (400-700nm)
var00060,Ruppia Gross Primary Productivity,mmol C/m^3/d,,mmol C/m^3/d,ruppia_gross_primary_productivity,,N/A,,,Ecology (Benthic),
var00061,Ruppia Net Primary Productivity,mmol C/m^3/d,,mmol C/m^3/d,ruppia_net_primary_productivity,,N/A,,,Ecology (Benthic),
var00062,Ruppia Biomass,mmol C/m^2,,mmol C/m^2,ruppia_biomass,,N/A,,,Ecology (Benthic),
var00063,Ruppia Leaf Area Index,m^2/m^2,,m^2/m^2,ruppia_leaf_area_index,,N/A,,,Ecology (Benthic),
var00064,Ruppia Biomass (above-ground),mmol C/m^2,,mmol C/m^2,ruppia_biomass_ag,,N/A,,,Ecology (Benthic),
var00065,Ruppia Biomass (below-ground),mmol C/m^2,,mmol C/m^2,ruppia_biomass_bg,,N/A,,,Ecology (Benthic),
var00066,Ruppia Root Depth,m,,m,ruppia_root_depth,,N/A,,,Ecology (Benthic),
var00067,Ruppia O2 Injection Rate,mmol O_2/m^2,,mmol O_2/m^2,ruppia_o2_injection_rate,,N/A,,,Ecology (Benthic),
var00068,SS1 Sedimentation Velocity,m/d,,m/d,ss1_sedimentation_velocity,,N/A,,,Sediment,
var00069,SS1 Sedimentation Rate,g/m^3/d,,g/m^3/d,ss1_sedimentation_rate,,N/A,,,Sediment,
var00070,SS2 Sedimentation Velocity,m/d,,m/d,ss2_sedimentation_velocity,,N/A,,,Sediment,
var00071,SS2 Sedimentation Rate,g/m^3/d,,g/m^3/d,ss2_sedimentation_rate,,N/A,,,Sediment,
var00072,SS3 Sedimentation Velocity,m/d,,m/d,ss3_sedimentation_velocity,,N/A,,,Sediment,
var00073,SS3 Sedimentation Rate,g/m^3/d,,g/m^3/d,ss3_sedimentation_rate,,N/A,,,Sediment,
var00074,Sediment Mass,g/m^2,,g/m^2,sediment_mass,,N/A,,,Sediment,
var00075,Critical Shear Stress,N/m^2,,N/m^2,critical_shear_stress,,N/A,,,Sediment,
var00076,Resuspension Rate,g/m^2/d,,g/m^2/d,resuspension_rate,,N/A,,,Sediment,
var00077,SS1 Sediment Fraction,v/v,,v/v,ss1_sediment_fraction,,N/A,,,Sediment,
var00078,SS2 Sediment Fraction,v/v,,v/v,ss2_sediment_fraction,,N/A,,,Sediment,
var00079,SS3 Sediment Fraction,v/v,,v/v,ss3_sediment_fraction,,N/A,,,Sediment,
var00080,SS Sedimentation Rate,g/m^3/d,,g/m^3/d,ss_sedimentation_rate,,N/A,,,Sediment,
var00081,SS Net SWI Flux,g/m^2/d,,g/m^2/d,ss_net_swi_flux,,N/A,,,Sediment,
var00082,Change in SWI Position,m,,m,change_in_swi_position,,N/A,,,Sediment,
var00083,SS Resuspension Rate,g/m^2/d,,g/m^2/d,ss_resuspension_rate,,N/A,,,Sediment,
var00084,Bottom Shear Stress,N/m^2,,N/m^2,bottom_shear_stress,,N/A,,,Hydrodynamics,
var00085,O2 Saturation,%,,%,o2_saturation,,N/A,,,Water Quality (PhysChm),
var00087,O2 Atmospheric Flux,mmol O_2/m^2,,mmol O_2/m^2,o2_atmospheric_flux,,N/A,,,Water Quality (PhysChm),
var00088,O2 Dissolved Sediment Exchange Rate,mmol O_2/m^3,,mmol O_2/m^3,o2_dissolved_sediment_exchange_rate,,N/A,,,Water Quality (PhysChm),
var00089,O2 Atmospheric Exchange Rate,mmol O_2/m^3,,mmol O_2/m^3,o2_atmospheric_exchange_rate,,N/A,,,Water Quality (PhysChm),
var00090,Si Dissolved Sediment Flux,mmol Si/m^2,,mmol Si/m^2,si_dissolved_sediment_flux,,N/A,,,Water Quality (Nutrient),
var00093,Nitrification Rate,mmol N/m^3/d,,mmol N/m^3/d,nitrification_rate,,N/A,,,Water Quality (Nutrient),
var00094,Denitrification Rate,mmol N/m^3/d,,mmol N/m^3/d,denitrification_rate,,N/A,,,Water Quality (Nutrient),
var00095,Annamox Rate,mmol N/m^3/d,,mmol N/m^3/d,annamox_rate,,N/A,,,Water Quality (Nutrient),
var00096,DNRA Rate,mmol N/m^3/d,,mmol N/m^3/d,dnra_rate,,N/A,,,Water Quality (Nutrient),
var00097,DIN Atmospheric Deposition Flux,mmol N/m^2/d,,mmol N/m^2/d,din_atmospheric_deposition_flux,,N/A,,,Water Quality (Nutrient),
var00098,PIP Sedimentation Rate,mmol P/m^3/d,,mmol P/m^3/d,pip_sedimentation_rate,,N/A,,,Water Quality (Nutrient),
var00099,PIP Resuspension Rate,mmol P/m^2/d,,mmol P/m^2/d,pip_resuspension_rate,,N/A,,,Water Quality (Nutrient),
var00100,PIP Net SWI Flux,mmol P/m^2/d,,mmol P/m^2/d,pip_net_swi_flux,,N/A,,,Water Quality (Nutrient),
var00101,FRP Sorption Rate,mmol P/m^3/d,,mmol P/m^3/d,frp_sorption_rate,,N/A,,,Water Quality (Nutrient),
var00103,DIP Atmospheric Deposition Flux,mmol P/m^2/d,,mmol P/m^2/d,dip_atmospheric_deposition_flux,,N/A,,,Water Quality (Nutrient),
var00104,POC Sedimentation Rate,mmol C/m^3/d,,mmol C/m^3/d,poc_sedimentation_rate,,N/A,,,Water Quality (Nutrient),
var00105,PON Sedimentation Rate,mmol N/m^3/d,,mmol N/m^3/d,pon_sedimentation_rate,,N/A,,,Water Quality (Nutrient),
var00106,POP Sedimentation Rate,mmol P/m^3/d,,mmol P/m^3/d,pop_sedimentation_rate,,N/A,,,Water Quality (Nutrient),
var00107,OM Sediment Fraction,v/v,,v/v,om_sediment_fraction,,N/A,,,Sediment,
var00108,Chromophoric DOM,/m,,/m,chromophoric_dom,,N/A,,,Water Quality (PhysChm),
var00109,Sediment Total Organic Carbon,mmol C/m^2,,mmol C/m^2,sediment_total_organic_carbon,,N/A,,,Sediment,
var00110,Sediment Total Organic Nitrogen,mmol N/m^2,,mmol N/m^2,sediment_total_organic_nitrogen,,N/A,,,Sediment,
var00111,Sediment Total Organic Phosphorus,mmol P/m^2,,mmol P/m^2,sediment_total_organic_phosphorus,,N/A,,,Sediment,
var00112,POC Net SWI Flux,mmol C/m^2/d,,mmol C/m^2/d,poc_net_swi_flux,,N/A,,,Water Quality (Nutrient),
var00113,DOC Net SWI Flux,mmol C/m^2/d,,mmol C/m^2/d,doc_net_swi_flux,,N/A,,,Water Quality (Nutrient),
var00114,PON Net SWI Flux,mmol N/m^2/d,,mmol N/m^2/d,pon_net_swi_flux,,N/A,,,Water Quality (Nutrient),
var00115,DON Net SWI Flux,mmol N/m^2/d,,mmol N/m^2/d,don_net_swi_flux,,N/A,,,Water Quality (Nutrient),
var00116,POP Net SWI Flux,mmol P/m^2/d,,mmol P/m^2/d,pop_net_swi_flux,,N/A,,,Water Quality (Nutrient),
var00117,DOP Net SWI Flux,mmol P/m^2/d,,mmol P/m^2/d,dop_net_swi_flux,,N/A,,,Water Quality (Nutrient),
var00118,POC Resuspension Rate,mmol C/m^2/d,,mmol C/m^2/d,poc_resuspension_rate,,N/A,,,Water Quality (Nutrient),
var00119,PON Resuspension Rate,mmol N/m^2/d,,mmol N/m^2/d,pon_resuspension_rate,,N/A,,,Water Quality (Nutrient),
var00120,POP Resuspension Rate,mmol P/m^2/d,,mmol P/m^2/d,pop_resuspension_rate,,N/A,,,Water Quality (Nutrient),
var00121,POC Hydrolysis Rate,mmol C/m^3/d,,mmol C/m^3/d,poc_hydrolysis_rate,,N/A,,,Water Quality (Nutrient),
var00122,PON Hydrolysis Rate,mmol N/m^3/d,,mmol N/m^3/d,pon_hydrolysis_rate,,N/A,,,Water Quality (Nutrient),
var00123,POP Hydrolysis Rate,mmol P/m^3/d,,mmol P/m^3/d,pop_hydrolysis_rate,,N/A,,,Water Quality (Nutrient),
var00124,DOC Mineralisation Rate,mmol C/m^3/d,,mmol C/m^3/d,doc_mineralisation_rate,,N/A,,,Water Quality (Nutrient),
var00125,DON Mineralisation Rate,mmol N/m^3/d,,mmol N/m^3/d,don_mineralisation_rate,,N/A,,,Water Quality (Nutrient),
var00126,DOP Mineralisation Rate,mmol P/m^3/d,,mmol P/m^3/d,dop_mineralisation_rate,,N/A,,,Water Quality (Nutrient),
var00127,DOC Mineralisation Rate (anaerobic),mmol C/m^3/d,,mmol C/m^3/d,doc_mineralisation_rate_anaerobic,,N/A,,,Water Quality (Nutrient),
var00128,DOC Mineralisation Rate (denitrification),mmol C/m^3/d,,mmol C/m^3/d,doc_mineralisation_rate_denitrification,,N/A,,,Water Quality (Nutrient),
var00129,Wind Direction,deg,,^{\circ},wind_direction,MET_WIND_DIR,wind_to_direction,degree,,Meteorology,
var00130,Wind Speed,m/s,,m/s,wind_speed,MET_WIND_SPD,wind_speed,m s-1,,Meteorology,
var00131,Chlorophyll-b,µg/L,Chl-b,\mug/L,tchl_b,,N/A,,,Water Quality (Nutrient),
var00132,Chlorophyll-c,µg/L,Chl-c,\mug/L,tchl_c,,N/A,,,Water Quality (Nutrient),
var00133,Cloud Cover,%,,%,cloud_cover,MET_CLOUD_COVER,N/A,,,Meteorology,
var00134,Specific Conductivity,µS/cm,,\muS/cm,specific_conductivity,,N/A,,,Water Quality (PhysChm),
var00135,Flow Status, ,, ,flow_status,,N/A,,,Hydrology,
var00136,Total Kjeldahl Nitrogen,mg/L,TKN,mg/L,total_kjeldahl_nitrogen,,N/A,,,Water Quality (Nutrient),
var00137,pH,-,pH,,ph,,N/A,,,Water Quality (PhysChm),
var00138,Phaeophytin-a,mg/L,,mg/L,phaeophytin_a,,N/A,,,Water Quality (Nutrient),
var00139,Total Alkalinity,mg/L,CaCO_3,mg/L,total_alkalinity,,N/A,,,Water Quality (Nutrient),
var00140,Secchi Depth,m,,m,secchi_depth,,secchi_depth_of_sea_water,m,,Light,
var00141,Tide Status,,,,tide_status,,N/A,,,Hydrodynamics,
var00142,Discharge (max),m3/s,,m/s,max_discharge,,N/A,,,Hydrology,
var00143,Discharge,m3/s,,m/s,discharge,,water_volume_transport_in_river_channel,m3 s-1,,Hydrology,
var00144,Discharge (min),m3/s,,m/s,min_discharge,,N/A,,,Hydrology,
var00145,Daily Discharge,ML/day,,ML/day,daily_discharge,,water_volume_transport_in_river_channel,m3 s-1,,Hydrology,
var00146,Stage Height CTF (max),m above datum,,m,max_stage_height_ctf,,N/A,,,Hydrology,
var00147,Stage Height CTF,m above datum,,m,mean_stage_height_ctf,,N/A,,,Hydrology,
var00148,Stage Height CTF (min),m above datum,,m,min_stage_height_ctf,,N/A,,,Hydrology,
var00149,Stage Height (max),m above datum,,m,max_stage_height,,N/A,,,Hydrology,
var00150,Stage Height,m above datum,,m,mean_stage_height,,N/A,,,Hydrology,
var00151,Stage Height (min),m above datum,,m,min_stage_height,,N/A,,,Hydrology,
var00152,Precipitation,m,,m,precipitation,MET_RAIN,rainfall_rate,m s-1,,Meteorology,
var00153,Air Temperature,C,,^{\circ}C,air_temperature,MET_AIR_TEMP,air_temperature,K,,Meteorology,
var00154,Wet Bulb Air Temperature,C,,^{\circ}C,wet_bulb_air_temperature,,wet_bulb_temperature,K,,Meteorology,
var00155,Dew Point Temperature,C,,^{\circ}C,dew_point_temperature,,dew_point_temperature,K,,Meteorology,
var00156,Relative Humidity,%,,%,relative_humidity,MET_HUM,relative_humidity,1,,Meteorology,
var00157,Wind Speed (max),m/s,,m/s,max_wind_speed,,wind_speed_of_gust,m s-1,,Meteorology,
var00158,Cloud Amount of First Group in Eighths,oktas,,oktas,cloud_amount_of_first_group_in_eighths,,N/A,,,Meteorology,
var00159,Cloud Height of First Group,ft,,ft,cloud_height_of_first_group,,N/A,,,Meteorology,
var00160,Cloud Amount of Second Group in Eighths,oktas,,oktas,cloud_amount_of_second_group_in_eighths,,N/A,,,Meteorology,
var00161,Cloud Height of Second Group,ft,,ft,cloud_height_of_second_group,,N/A,,,Meteorology,
var00162,Cloud Amount of Third Group in Eighths,oktas,,oktas,cloud_amount_of_third_group_in_eighths,,N/A,,,Meteorology,
var00163,Cloud Height of Third Group,ft,,ft,cloud_height_of_third_group,,N/A,,,Meteorology,
var00164,Cloud Amount of Fourth Group in Eighths,oktas,,oktas,cloud_amount_of_fourth_group_in_eighths,,N/A,,,Meteorology,
var00165,Cloud Height of Fourth Group,ft,,ft,cloud_height_of_fourth_group,,N/A,,,Meteorology,
var00166,Ceilometer Cloud Amount of First Group,oktas,,oktas,ceilometer_cloud_amount_of_first_group,,N/A,,,Meteorology,
var00167,Ceilometer Cloud Height of First Group,ft,,ft,ceilometer_cloud_height_of_first_group,,N/A,,,Meteorology,
var00168,Ceilometer Cloud Amount of Second Group,oktas,,oktas,ceilometer_cloud_amount_of_second_group,,N/A,,,Meteorology,
var00169,Ceilometer Cloud Height of Second Group,ft,,ft,ceilometer_cloud_height_of_second_group,,N/A,,,Meteorology,
var00170,Ceilometer Cloud Amount of Third Group,oktas,,oktas,ceilometer_cloud_amount_of_third_group,,N/A,,,Meteorology,
var00171,Ceilometer Cloud Height of Third Group,ft,,ft,ceilometer_cloud_height_of_third_group,,N/A,,,Meteorology,
var00172,Ceilometer Sky Clear Flag,,,,ceilometer_sky_clear_flag,,N/A,,,Meteorology,
var00173,Horizontal Visibility,km,,km,horizontal_visibility,,N/A,,,Meteorology,
var00174,AWS Visibility,km,,km,aws_visibility,,N/A,,,Meteorology,
var00175,Present Weather in Code,,,,present_weather_in_code,,N/A,,,Meteorology,
var00176,Mean sea level pressure in hPa,,,,,,,,,,
var00177,Station Level Pressure,hPa,,hPa,station_level_pressure,MET_PRESSURE,air_pressure,Pa,,Meteorology,
var00178,Chlorophyll Sample Volume,mL,,mL,chlorophyll_sample_volume,,N/A,,,Water Quality (Nutrient),
var00179,Bottom Depth,m,D,m,bottom_depth,,sea_floor_depth_below_sea_surface,m,,Hydrodynamics,
var00180,Water Surface Height,m,H,m,water_surface_height,WTR_LEVEL,sea_surface_height,m,,Hydrodynamics,
var00182,Tilt,deg,,deg,,,N/A,,,Hydrodynamics,
var00183,Spectral Radiative Flux (WL - 410W),µW/cm2/nm,,µW/cm2/nm,,,downwelling_radiative_flux_per_unit_wavelength_in_air,W m-2 m-1,,Light,
var00184,Spectral Radiative Flux (WL - 440W),µW/cm2/nm,,µW/cm2/nm,,,downwelling_radiative_flux_per_unit_wavelength_in_air,W m-2 m-1,,Light,
var00185,Spectral Radiative Flux (WL - 490W),µW/cm2/nm,,µW/cm2/nm,,,downwelling_radiative_flux_per_unit_wavelength_in_air,W m-2 m-1,,Light,
var00186,Spectral Radiative Flux (WL - 510W),µW/cm2/nm,,µW/cm2/nm,,,downwelling_radiative_flux_per_unit_wavelength_in_air,W m-2 m-1,,Light,
var00187,Spectral Radiative Flux (WL - 550W),µW/cm2/nm,,µW/cm2/nm,,,downwelling_radiative_flux_per_unit_wavelength_in_air,W m-2 m-1,,Light,
var00188,Spectral Radiative Flux (WL - 590W),µW/cm2/nm,,µW/cm2/nm,,,downwelling_radiative_flux_per_unit_wavelength_in_air,W m-2 m-1,,Light,
var00189,Spectral Radiative Flux (WL - 635W),µW/cm2/nm,,µW/cm2/nm,,,downwelling_radiative_flux_per_unit_wavelength_in_air,W m-2 m-1,,Light,
var00190,Spectral Radiative Flux (WL - 660W),µW/cm2/nm,,µW/cm2/nm,,,downwelling_radiative_flux_per_unit_wavelength_in_air,W m-2 m-1,,Light,
var00191,Spectral Radiative Flux (WL - 700W),µW/cm2/nm,,µW/cm2/nm,,,downwelling_radiative_flux_per_unit_wavelength_in_air,W m-2 m-1,,Light,
var00192,ACCELERATIONX,m s-2,,m s-2,,,N/A,,,Hydrodynamics,
var00193,ACCELERATIONY,m s-2,,m s-2,,,N/A,,,Hydrodynamics,
var00194,ACCELERATIONZ,m s-2,,m s-2,,,N/A,,,Hydrodynamics,
var00195,AMPLITUDE1,counts,,counts,,,N/A,,,Hydrodynamics,
var00196,AMPLITUDE2,counts,,counts,,,N/A,,,Hydrodynamics,
var00197,AMPLITUDE3,counts,,counts,,,N/A,,,Hydrodynamics,
var00198,CELL,m,,m,,,N/A,,,Hydrodynamics,
var00199,DENSITY ANOMALY,kg m-3,,kg m-3,,,N/A,,,Hydrodynamics,
var00201,HEADING,Degrees clockwise from true North,,Degrees clockwise from true North,,,N/A,,,Hydrodynamics,
var00202,LOWER_UCUR,m s-1,,m s-1,,,N/A,,,Hydrodynamics,
var00203,LOWER_VCUR,m s-1,,m s-1,,,N/A,,,Hydrodynamics,
var00204,MIDDLE_UCUR,m s-1,,m s-1,,,N/A,,,Hydrodynamics,
var00205,MIDDLE_VCUR,m s-1,,m s-1,,,N/A,,,Hydrodynamics,
var00206,Pitch,deg,,deg,,,N/A,,,Hydrodynamics,
var00207,PRESSURE,dbar,,dbar,,,N/A,,,Hydrodynamics,
var00208,PRESSURE_SENSOR_DEPTH,metres,,metres,,,N/A,,,Hydrodynamics,
var00209,ROLL,degrees,,degrees,,,N/A,,,Hydrodynamics,
var00210,SPEED_OF_SOUND,m s-1,c,m s-1,,,N/A,,,Hydrodynamics,
var00211,UCUR (eastward velocity),m s-1,,m s-1,,,N/A,,,Hydrodynamics,
var00212,UPPER_UCUR,m s-1,,m s-1,,,N/A,,,Hydrodynamics,
var00213,UPPER_VCUR,m s-1,,m s-1,,,N/A,,,Hydrodynamics,
var00214,VCUR (northward velocity),m s-1,,m s-1,,,N/A,,,Hydrodynamics,
var00215,WCUR,m s-1,,m s-1,,,N/A,,,Hydrodynamics,
var00216,Light Attenuation Coefficient,m-1,K_d,m-1,light_attenuation_coefficient,,volume_attenuation_coefficient_of_downwelling_radiative_flux_in_sea_water,m-1,,Light,
var00218,Density,kg m-3,,kg m-3,density,WTR_DENSITY,sea_water_density,kg m-3,,Hydrodynamics,
var00219,Fluorescence,-,,-,fluorescence,,N/A,,,Water Quality (PhysChm),
var00220,Prochlorococcus,cellsmL,,,prochlorococcus,,N/A,,,Ecology (Planktonic),
var00221,Synechococcus,cellsmL,,,synechococcus,,N/A,,,Ecology (Planktonic),
var00222,Picoeukaryotes,cellsmL,,,picoeukaryotes,,N/A,,,Ecology (Planktonic),
var00223,Allo,mg/m3,,,Allo,,N/A,,,Ecology (Planktonic),
var00224,AlphaBetaCar,mg/m3,,,AlphaBetaCar,,N/A,,,Ecology (Planktonic),
var00225,Anth,mg/m3,,,Anth,,N/A,,,Ecology (Planktonic),
var00226,Asta,mg/m3,,,Asta,,N/A,,,Ecology (Planktonic),
var00227,BetaBetaCar,mg/m3,,,BetaBetaCar,,N/A,,,Ecology (Planktonic),
var00228,BetaEpiCar,mg/m3,,,BetaEpiCar,,N/A,,,Ecology (Planktonic),
var00229,Butfuco,mg/m3,,,Butfuco,,N/A,,,Ecology (Planktonic),
var00230,Cantha,mg/m3,,,Cantha,,N/A,,,Ecology (Planktonic),
var00231,CphlA,mg/m3,,,CphlA,,N/A,,,Ecology (Planktonic),
var00232,CphlB,mg/m3,,,CphlB,,N/A,,,Ecology (Planktonic),
var00233,CphlC1,mg/m3,,,CphlC1,,N/A,,,Ecology (Planktonic),
var00234,CphlC2,mg/m3,,,CphlC2,,N/A,,,Ecology (Planktonic),
var00235,CphlC3,mg/m3,,,CphlC3,,N/A,,,Ecology (Planktonic),
var00236,CphlC1C2,mg/m3,,,CphlC1C2,,N/A,,,Ecology (Planktonic),
var00237,CphlideA,mg/m3,,,CphlideA,,N/A,,,Ecology (Planktonic),
