Variable ID,Variable Name,Units,Symbol,LaTex Units,Programmatic,SH Category,CF Name (http://cfconventions.org/Data/cf-standard-names/current/build/cf-standard-name-table.html),CF Units,CF Conversion,Category,Descriptiion
var00705,Cyanobacteria (Myxobaktron sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00706,Cyanobacteria (NoID Cyanophyte),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00707,Cyanobacteria (Nodularia spumigena),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00708,Cyanobacteria (Phormidium sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00709,Cyanobacteria (Pseudanabaena sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00710,Cyanobacteria (Rhabdoderma sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00711,Cyanobacteria (Rhabdogloea sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00712,Cyanobacteria (Snowella sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00713,Cyanobacteria (Synechococcus sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00714,Cyanobacteria (Total Blue Green Algae),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00715,Dinophyta (Gymnodinium sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00716,Dinophyta (Peridinium sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00717,Total Dissolved Solids,mg/l,mg/l,mg/l,,,N/A,,,Sediment,
var00718,Equipment voltage,Volts,Volts,Volts,,,N/A,,,Others,
var00719,Euglenophyta (Euglena sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00720,Euglenophyta (Phacus sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00721,Euglenophyta (Trachelomonas sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00722,Euglenozoa (Lepocinclis sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00723,Fluoride,mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Contaminants),
var00724,Dissolved Iron,mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Contaminants),
var00725,Total Iron,mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Contaminants),
var00726,Total Manganese,mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Contaminants),
var00727,Total Mercury,mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Contaminants),
var00728,Microcystin-LR Extracellular,ug/L,ug/L,ug/L,,,N/A,,,Ecology (Planktonic),
var00729,Microcystin-LR Intracellular,ug/L,ug/L,ug/L,,,N/A,,,Ecology (Planktonic),
var00730,Miozoa (Peridinium willei),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00731,Ochrophyta (Apedinella sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00732,Ochrophyta (Chrysococcus sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00733,Ochrophyta (Chrysosphaerella sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00734,Ochrophyta (Epithemia sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00735,Ochrophyta (Kephyrion sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00736,Ochrophyta (Naegeliella sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00737,Ochrophyta (Ochromonas sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00738,Ochrophyta (Rhopalodia sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00739,Ochrophyta (Spiniferomonas sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00740,Ochrophyta (Surirella sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00741,Ochrophyta (Uroglena sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00742,Dissolved Organic Carbon,mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Nutrient),
var00743,Dissolved Organic Carbon Non-Purgeable,mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Nutrient),
var00744,Total Organic Carbon Non-Purgeable,mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Nutrient),
var00745,Total Oxidised Nitrite and Nitrate,mg/L,mg/L,mg/L,,,N/A,,,Water Quality (Nutrient),
var00746,PAR omni-directional,µmol photons/m²/sec,µmol photons/m²/sec,µmol photons/m²/sec,,,N/A,,,Others,
var00747,Total Reactive Phosphorus,mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Nutrient),
var00748,Redox US Stnd Oxid,mV,mV,mV,,,N/A,,,Others,
var00749,Filtered Sample Volume,Millilitres,Millilitres,Millilitres,,,N/A,,,Others,
var00750,Total Sulphate,mg/l,mg/l,mg/l,,,N/A,,,Water Quality (Nutrient),
var00751,Filtered Turbidity,FTU,FTU,FTU,,,N/A,,,Sediment,
var00752,Unidentified Chrysophyte,cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00753,Unidentified chlorophyte,cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00754,Unidentified filamentous cyanobacteria,cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00755,Unidentified phytoflagellate,cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00756,Unidentified pico cyanobacteria,cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00757,Unidentified round green cells,cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00758,Unidentified uniflagellate,cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00759,Water Surface Condition,,,,,,N/A,,,Hydrodynamics,
var00760,Bacillariophyta (Amphora sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00761,Bacillariophyta (Tabellaria flocculosa),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00762,Cyanobacteria (Aphanizomenon sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00763,Ochrophyta (Ophiocytiaceae sp.),cells/mL,cells/mL,cells/mL,,,N/A,,,Ecology (Planktonic),
var00764,PAR uni-directional in water,µmol photons/m²/sec,µmol photons/m²/sec,µmol photons/m²/sec,,,N/A,,,Light,
var00765,Sample bottles,units,units,units,,,,,,Others,
var00766,Phyco,,,,,,,,,Others,
